token,speaker,class,vowel,coda,Stimulus,vowelcoda,classvowelcoda,word,wavname,textgridname,duration,measurement_no,f1,f2,f3,f4,f5,f1.tag,f2.tag,f3.tag,f4.tag,f5.tag,f1wtag,f2wtag,f3wtag,f4wtag,f5wtag,f1ntag,f2ntag,f3ntag,f4ntag,f5ntag
31,W1,W,/u/,vrc,hurt,uvrc,Wuvrc,bird,bird_W12SF.wav,bird_W12SF.TextGrid,0.253391046,0,535.4691076,919.9084668,2485.125858,3638.443936,4132.723112,,,1,1,1,,,2485.125858,3638.443936,4132.723112,,,,,
31,W1,W,/u/,vrc,hurt,uvrc,Wuvrc,bird,bird_W12SF.wav,bird_W12SF.TextGrid,0.253391046,1,535.4691076,947.3684211,2540.045767,3665.90389,4132.723112,,,1,,1,,,2540.045767,,4132.723112,,,,,
31,W1,W,/u/,vrc,hurt,uvrc,Wuvrc,bird,bird_W12SF.wav,bird_W12SF.TextGrid,0.253391046,2,562.9290618,933.6384439,2512.585812,3652.173913,4118.993135,,,,,,,,,,,,,,,
31,W1,W,/u/,vrc,hurt,uvrc,Wuvrc,bird,bird_W12SF.wav,bird_W12SF.TextGrid,0.253391046,3,576.6590389,919.9084668,2581.235698,3610.983982,4118.993135,,,,,,,,,,,,,,,
31,W1,W,/u/,vrc,hurt,uvrc,Wuvrc,bird,bird_W12SF.wav,bird_W12SF.TextGrid,0.253391046,4,562.9290618,919.9084668,2594.965675,3610.983982,4132.723112,,,,,,,,,,,,,,,
31,W1,W,/u/,vrc,hurt,uvrc,Wuvrc,bird,bird_W12SF.wav,bird_W12SF.TextGrid,0.253391046,5,521.7391304,892.4485126,2714.413669,3569.79405,4146.453089,,,,,,,,,,,,,,,
31,W1,W,/u/,vrc,hurt,uvrc,Wuvrc,bird,bird_W12SF.wav,bird_W12SF.TextGrid,0.253391046,6,508.0091533,892.4485126,2773.455378,3556.064073,4146.453089,,,,,,,,,,,,,,,
31,W1,W,/u/,vrc,hurt,uvrc,Wuvrc,bird,bird_W12SF.wav,bird_W12SF.TextGrid,0.253391046,7,508.0091533,810.0686499,2787.185355,3659.89267,4087.673802,,,,,,,,,,,,,,,
31,W1,W,/u/,vrc,hurt,uvrc,Wuvrc,bird,bird_W12SF.wav,bird_W12SF.TextGrid,0.253391046,8,504.9429163,810.0686499,2800.915332,3707.093822,4173.913043,,,1,,,,,2800.915332,,,,,,,
31,W1,W,/u/,vrc,hurt,uvrc,Wuvrc,bird,bird_W12SF.wav,bird_W12SF.TextGrid,0.253391046,9,508.0091533,837.5286041,2851.137327,3725.279203,4256.292906,1,1,1,1,,508.0091533,837.5286041,2851.137327,3725.279203,,,,,,
31,W1,W,/u/,vrc,hurt,uvrc,Wuvrc,bird,bird_W12SF.wav,bird_W12SF.TextGrid,0.253391046,10,521.7391304,837.5286041,2855.83524,3734.553776,4256.292906,1,1,1,1,1,521.7391304,837.5286041,2855.83524,3734.553776,4256.292906,,,,,
31,W1,W,/u/,vrc,hurt,uvrc,Wuvrc,bird,bird_W12SF.wav,bird_W12SF.TextGrid,0.253391046,11,521.7391304,823.798627,2855.83524,3722.480049,4257.186945,1,1,2,2,2,521.7391304,823.798627,,,,,,2855.83524,3722.480049,4257.186945
31,W1,W,/u/,vrc,hurt,uvrc,Wuvrc,bird,bird_W12SF.wav,bird_W12SF.TextGrid,0.253391046,12,528.6983242,810.0686499,2869.565217,3720.823799,4270.022883,1,1,2,2,2,528.6983242,810.0686499,,,,,,2869.565217,3720.823799,4270.022883
31,W1,W,/u/,vrc,hurt,uvrc,Wuvrc,bird,bird_W12SF.wav,bird_W12SF.TextGrid,0.253391046,13,521.7391304,782.6086957,2869.565217,3720.823799,4289.193286,1,2,2,2,2,521.7391304,,,,,,782.6086957,2869.565217,3720.823799,4289.193286
31,W1,W,/u/,vrc,hurt,uvrc,Wuvrc,bird,bird_W12SF.wav,bird_W12SF.TextGrid,0.253391046,14,521.7391304,782.6086957,2869.565217,3720.823799,4356.512814,1,2,2,2,2,521.7391304,,,,,,782.6086957,2869.565217,3720.823799,4356.512814
31,W1,W,/u/,vrc,hurt,uvrc,Wuvrc,bird,bird_W12SF.wav,bird_W12SF.TextGrid,0.253391046,15,508.0091533,796.3386728,2864.888442,3720.823799,4390.488112,2,2,2,2,2,,,,,,508.0091533,796.3386728,2864.888442,3720.823799,4390.488112
31,W1,W,/u/,vrc,hurt,uvrc,Wuvrc,bird,bird_W12SF.wav,bird_W12SF.TextGrid,0.253391046,16,494.2791762,796.3386728,2843.013915,3720.823799,4393.592677,2,2,2,2,2,,,,,,494.2791762,796.3386728,2843.013915,3720.823799,4393.592677
31,W1,W,/u/,vrc,hurt,uvrc,Wuvrc,bird,bird_W12SF.wav,bird_W12SF.TextGrid,0.253391046,17,466.819222,796.3386728,2828.375286,3720.823799,4393.592677,2,2,2,2,2,,,,,,466.819222,796.3386728,2828.375286,3720.823799,4393.592677
31,W1,W,/u/,vrc,hurt,uvrc,Wuvrc,bird,bird_W12SF.wav,bird_W12SF.TextGrid,0.253391046,18,434.1088263,817.6608173,2828.375286,3720.823799,4393.592677,2,2,2,2,2,,,,,,434.1088263,817.6608173,2828.375286,3720.823799,4393.592677
31,W1,W,/u/,vrc,hurt,uvrc,Wuvrc,bird,bird_W12SF.wav,bird_W12SF.TextGrid,0.253391046,19,411.8993135,851.2585812,2814.645309,3720.823799,4393.592677,2,2,2,2,2,,,,,,411.8993135,851.2585812,2814.645309,3720.823799,4393.592677
31,W1,W,/u/,vrc,hurt,uvrc,Wuvrc,bird,bird_W12SF.wav,bird_W12SF.TextGrid,0.253391046,20,398.1693364,864.9885584,2814.645309,3720.823799,4399.898196,2,2,2,2,2,,,,,,398.1693364,864.9885584,2814.645309,3720.823799,4399.898196
32,W1,W,/u/,vrc,hurt,uvrc,Wuvrc,bird,bird_W14SF.wav,bird_W14SF.TextGrid,0.216977756,0,535.4691076,961.0983982,2506.595746,3652.173913,3967.963387,,,1,1,1,,,2506.595746,3652.173913,3967.963387,,,,,
32,W1,W,/u/,vrc,hurt,uvrc,Wuvrc,bird,bird_W14SF.wav,bird_W14SF.TextGrid,0.216977756,1,535.4691076,933.6384439,2564.163061,3652.173913,3993.752011,,,,,1,,,,,3993.752011,,,,,
32,W1,W,/u/,vrc,hurt,uvrc,Wuvrc,bird,bird_W14SF.wav,bird_W14SF.TextGrid,0.216977756,2,535.4691076,933.6384439,2604.678966,3652.173913,3981.693364,,,,,,,,,,,,,,,
