token,speaker,class,vowel,coda,Stimulus,vowelcoda,classvowelcoda,word,wavname,textgridname,duration,measurement_no,f1,f2,f3,f4,f5,f1.tag,f2.tag,f3.tag,f4.tag,f5.tag,f1wtag,f2wtag,f3wtag,f4wtag,f5wtag,f1ntag,f2ntag,f3ntag,f4ntag,f5ntag
23,M1,M,/u/,vrc,hurt,uvrc,Muvrc,bird,bird_M12SQ.wav,bird_M12SQ.TextGrid,0.170853144,1,449.6487119,1278.688525,1826.697892,3583.138173,3948.477752,,,,,1,,,,,3948.477752,,,,,
23,M1,M,/u/,vrc,hurt,uvrc,Muvrc,bird,bird_M12SQ.wav,bird_M12SQ.TextGrid,0.170853144,2,449.6487119,1306.791569,1798.594848,3583.138173,3948.477752,,,,,1,,,,,3948.477752,,,,,
23,M1,M,/u/,vrc,hurt,uvrc,Muvrc,bird,bird_M12SQ.wav,bird_M12SQ.TextGrid,0.170853144,3,435.5971897,1363.31693,1770.491803,3569.086651,3948.477752,,,,,1,,,,,3948.477752,,,,,
23,M1,M,/u/,vrc,hurt,uvrc,Muvrc,bird,bird_M12SQ.wav,bird_M12SQ.TextGrid,0.170853144,4,435.5971897,1391.100703,1742.388759,3540.983607,3948.477752,,,,,1,,,,,3948.477752,,,,,
23,M1,M,/u/,vrc,hurt,uvrc,Muvrc,bird,bird_M12SQ.wav,bird_M12SQ.TextGrid,0.170853144,5,421.5456674,1391.100703,1742.388759,3540.983607,3948.477752,,,,,1,,,,,3948.477752,,,,,
23,M1,M,/u/,vrc,hurt,uvrc,Muvrc,bird,bird_M12SQ.wav,bird_M12SQ.TextGrid,0.170853144,6,421.5456674,1419.203747,1770.491803,3540.983607,3962.529274,,,,,1,,,,,3962.529274,,,,,
23,M1,M,/u/,vrc,hurt,uvrc,Muvrc,bird,bird_M12SQ.wav,bird_M12SQ.TextGrid,0.170853144,7,421.5456674,1447.306792,1770.491803,3540.983607,3976.580796,,,,,1,,,,,3976.580796,,,,,
23,M1,M,/u/,vrc,hurt,uvrc,Muvrc,bird,bird_M12SQ.wav,bird_M12SQ.TextGrid,0.170853144,8,435.5971897,1447.306792,1770.491803,3526.932084,3976.580796,,,,,1,,,,,3976.580796,,,,,
23,M1,M,/u/,vrc,hurt,uvrc,Muvrc,bird,bird_M12SQ.wav,bird_M12SQ.TextGrid,0.170853144,9,491.8032787,1447.306792,1784.543326,3526.932084,3990.632319,,,,,1,,,,,3990.632319,,,,,
23,M1,M,/u/,vrc,hurt,uvrc,Muvrc,bird,bird_M12SQ.wav,bird_M12SQ.TextGrid,0.170853144,10,491.8032787,1475.409836,1826.697892,3512.880562,3990.632319,,,,,1,,,,,3990.632319,,,,,
23,M1,M,/u/,vrc,hurt,uvrc,Muvrc,bird,bird_M12SQ.wav,bird_M12SQ.TextGrid,0.170853144,11,477.7517564,1475.409836,1882.751221,3470.725995,3976.580796,,,,,1,,,,,3976.580796,,,,,
23,M1,M,/u/,vrc,hurt,uvrc,Muvrc,bird,bird_M12SQ.wav,bird_M12SQ.TextGrid,0.170853144,12,435.5971897,1517.564403,1863.814595,3400.468384,3909.320086,,,,,1,,,,,3909.320086,,,,,
23,M1,M,/u/,vrc,hurt,uvrc,Muvrc,bird,bird_M12SQ.wav,bird_M12SQ.TextGrid,0.170853144,13,421.5456674,1531.615925,1882.903981,3288.252631,3864.168618,,,,,1,,,,,3864.168618,,,,,
23,M1,M,/u/,vrc,hurt,uvrc,Muvrc,bird,bird_M12SQ.wav,bird_M12SQ.TextGrid,0.170853144,14,421.5456674,1559.71897,1896.955504,2950.819672,3651.155125,,,1,1,2,,,1896.955504,2950.819672,,,,,,3651.155125
23,M1,M,/u/,vrc,hurt,uvrc,Muvrc,bird,bird_M12SQ.wav,bird_M12SQ.TextGrid,0.170853144,15,421.5456674,1615.925059,1953.161593,2647.640727,3449.402951,1,,1,1,1,421.5456674,,1953.161593,2647.640727,3449.402951,,,,,
23,M1,M,/u/,vrc,hurt,uvrc,Muvrc,bird,bird_M12SQ.wav,bird_M12SQ.TextGrid,0.170853144,16,435.5971897,1601.873536,1981.264637,2612.066103,3381.179301,1,1,1,1,1,435.5971897,1601.873536,1981.264637,2612.066103,3381.179301,,,,,
23,M1,M,/u/,vrc,hurt,uvrc,Muvrc,bird,bird_M12SQ.wav,bird_M12SQ.TextGrid,0.170853144,17,463.7002342,1587.822014,1967.213115,2585.480094,3358.313817,1,1,2,2,1,463.7002342,1587.822014,,,3358.313817,,,1967.213115,2585.480094,
23,M1,M,/u/,vrc,hurt,uvrc,Muvrc,bird,bird_M12SQ.wav,bird_M12SQ.TextGrid,0.170853144,18,477.7517564,1544.5502,1939.11007,2557.377049,3358.313817,1,2,2,2,1,477.7517564,,,,3358.313817,,1544.5502,1939.11007,2557.377049,
23,M1,M,/u/,vrc,hurt,uvrc,Muvrc,bird,bird_M12SQ.wav,bird_M12SQ.TextGrid,0.170853144,19,491.8032787,1531.615925,1931.209543,2543.325527,3344.262295,2,2,2,2,1,,,,,3344.262295,491.8032787,1531.615925,1931.209543,2543.325527,
23,M1,M,/u/,vrc,hurt,uvrc,Muvrc,bird,bird_M12SQ.wav,bird_M12SQ.TextGrid,0.170853144,20,519.9063232,1517.564403,1925.058548,2515.222482,3344.262295,2,2,2,2,1,,,,,3344.262295,519.9063232,1517.564403,1925.058548,2515.222482,
24,M1,M,/u/,vc,hut,uvc,Muvc,bud,bud_M1.wav,bud_M1.TextGrid,0.207555697,0,521.7391304,1043.478261,2306.636156,3597.254005,4064.073227,,,,,1,,,,,4064.073227,,,,,
24,M1,M,/u/,vc,hut,uvc,Muvc,bud,bud_M1.wav,bud_M1.TextGrid,0.207555697,1,521.7391304,1098.398169,2282.617165,3624.713959,4091.533181,,,,,,,,,,,,,,,
24,M1,M,/u/,vc,hut,uvc,Muvc,bud,bud_M1.wav,bud_M1.TextGrid,0.207555697,2,521.7391304,1125.858124,2320.366133,3624.713959,4118.993135,,,,,,,,,,,,,,,
24,M1,M,/u/,vc,hut,uvc,Muvc,bud,bud_M1.wav,bud_M1.TextGrid,0.207555697,3,521.7391304,1153.318078,2320.366133,3638.443936,4132.723112,,,,,,,,,,,,,,,
24,M1,M,/u/,vc,hut,uvc,Muvc,bud,bud_M1.wav,bud_M1.TextGrid,0.207555697,4,535.4691076,1162.769133,2347.826087,3638.443936,4118.993135,,,,,,,,,,,,,,,
24,M1,M,/u/,vc,hut,uvc,Muvc,bud,bud_M1.wav,bud_M1.TextGrid,0.207555697,5,562.9290618,1180.778032,2347.826087,3665.90389,4077.803204,,,,,,,,,,,,,,,
24,M1,M,/u/,vc,hut,uvc,Muvc,bud,bud_M1.wav,bud_M1.TextGrid,0.207555697,6,562.9290618,1208.237986,2347.826087,3665.90389,4050.343249,,,,,,,,,,,,,,,
